"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02"
9,"California",1,160300,160105,159952,159858,159843,159869,160020,160197,160453,160470,160550,160715,161179,161736,162322,163039,163805,164663,165435,166329,167347,168766,170335,171838,173113,174266,175462,176543,177724,179016,180386,181654,182732,184004,185349,186759,188017,189324,190869,192517,193978,195290,196827,198688,200743,202739,204647,206612,208734,211053,213469,215955,218603,221334,223982,226617,229283,231838,234483,237242,240158,242770,245061,247085,249079,251119,253256,255356,257461,259600,261926,264323,266920,269701,272962,276659,280570,284406,288276,292387,296627,300690,304410,308142,311882,315747,319066,322742,326806,331561,336296,341393,346484,352360,358615,365252,372057,379688,388352,396841,404723,412203,419678,426702,433857,440459,447619,454606,461997,468477,474460,480591,486965,493574,499821,504903,509411,513172,516321,519305,521501,523972,525255,525664,525263,523747,522019,520514,519080,517621,515679,513494,511261,507873,504213,499753,495071,489511,483021,476491,469197,461898,452756,442398,431154,420087,409912,399725,390176,381477,373681,365001,356435,348510,343614,339309,335330,331741,329165,327891,327015,326441,326452,327941,329919,331383,331188,331959,333126,334835,334370,333089,331439,330136,328419,326070,324048,322336,320882,318683,316446,313369,311561,310128,308724,307049,305217,304491,303320,302588,302032,302208,302889,304415,306321,308624,311522,314879,319024,322846,327891,332879,338791,345332,352647,360138,367694,375104,382327,388707,394252,399334,403752,408234,411917,414077,415129,415737,416568,417875,418562,419814,421156,423605,425414,427318,429480,432733,435447,438291,440485,442641,445206,448148,451337,453834,457310,460375,463032,464685,467324,469862,472561,474876,477838,480565,483544,486051,488202,490565,493114,496203,499002,502233,505704,508639,511369,514406,517892,522083,526396,530934,535143,538786,541391,543506,545459,547683,549414,550518,551411,552297,552377,552071,550533,549548,549233,549807,550441,551379,552857,554941,557171,559486,562746,566545,571875
54,"Texas",2,97811,97947,98064,98152,98273,98427,98607,98823,99062,99086,99087,99078,99210,99303,99432,99565,99732,99910,100153,100381,100618,101091,101542,101988,102113,102323,102536,102844,103082,103306,103378,103416,103421,103640,104126,104792,105532,106215,106893,107539,108090,108543,109075,109659,110246,110628,110907,111079,111268,111309,111348,111350,111539,111786,112033,112327,112650,112877,112870,112708,112613,112700,112804,112929,112975,113081,113208,113298,113387,113491,113727,114066,114486,114910,115401,115882,116374,116792,117175,117572,117957,118233,118321,118313,118352,118480,118716,118938,119220,119460,119772,120050,120371,120948,121981,123333,124471,125319,125812,126406,126952,127616,128228,128811,129388,130010,130416,130668,130845,131104,131497,131826,132166,132451,132633,132937,133172,133536,133943,134396,134833,135348,135880,136424,136891,137396,138058,138624,139198,139596,139886,140091,140412,140776,141190,141485,141950,142397,142788,143057,143287,143090,142689,142136,141788,141399,141027,140739,140341,139842,139298,138715,138159,137858,137846,137912,137796,137639,137499,137467,137382,137328,137256,137467,137635,137726,137702,137714,137807,137833,137713,137246,136717,136185,135758,135247,134821,134412,133890,133319,132749,132287,131864,131680,131655,131749,131772,131646,131478,131450,131687,132032,132328,132645,132995,133424,133807,134100,134381,134832,135420,136110,136752,137505,138348,139212,140085,140977,141913,142945,144033,145113,146066,146931,147822,148615,149380,150178,151098,151973,152922,153868,154845,155815,156822,157843,158856,159941,161046,162077,163091,164088,165052,165938,166881,167740,168641,169583,170497,171383,172239,173270,174242,175299,176221,177204,178094,179204,180378,181435,182485,183418,184421,185271,186135,186898,187667,188496,189472,190461,191356,192132,192935,193937,195061,196154,197173,198085,199033,199806,200713,201494,202436,203342,204208,204861,205359,205930,206523,207188,207806,208470,208922,209364,209661,210018,210343
43,"New York",3,137843,137740,137675,137595,137514,137477,137495,137552,137656,137632,137910,138213,138581,138712,138879,139182,139483,139775,139994,140422,140881,141740,142236,142706,142806,143065,143329,143463,143875,144377,145154,145621,146110,146366,146892,147454,148320,149259,150264,151578,152644,153700,154459,155294,156050,156795,157846,159061,160421,161625,162803,163733,164578,165397,166361,167551,168799,170069,171115,172162,173190,174308,175430,176597,177818,179025,180336,181688,183109,184568,185966,187190,188442,189730,191158,192619,194172,195718,197224,198767,200440,202106,203874,205980,207964,209862,211545,213261,215170,217159,219204,220958,222600,224374,226155,227780,229472,231358,233514,235739,237823,239988,242059,244419,246632,248883,251144,253358,255734,258062,260309,262606,264957,267462,269947,272205,274519,276529,278407,279975,281376,282611,283912,284974,285845,286277,286546,286672,286842,286951,287103,287381,287498,287759,287744,287859,287905,287915,288167,288426,288408,288323,287902,287463,286769,285780,284713,283426,282236,280955,279364,277659,276072,274537,273121,271715,270438,269272,268056,266976,265993,265386,265117,265043,265005,264836,264790,264640,264818,264897,265279,265412,265191,264585,263672,262817,261887,261278,260689,260253,259393,258489,257301,256393,255733,255289,254964,254469,254074,253608,253029,252509,252147,252095,252172,252283,252462,252656,252791,253065,253424,253818,254410,254914,255666,256352,257167,257972,258673,259375,260206,261054,261803,262548,263268,264113,264727,265237,265610,265882,266228,266594,267047,267489,268081,268653,269110,269411,269818,270327,270994,271760,272507,273251,273826,274390,274786,275215,275952,276897,277882,278722,279390,280089,280899,281758,282749,283801,285101,286333,287278,288096,289115,290522,292220,293815,295276,296644,298076,299517,300777,302131,303552,305007,306373,307616,308920,310368,311936,313594,315061,316340,317396,318343,319208,320144,320935,321730,322337,322860,323326,323741,324222,324792,325532,326269,327032
14,"Florida",4,100571,100771,101000,101219,101417,101546,101680,101832,102021,102031,102096,102177,102481,102762,103010,103250,103503,103796,104059,104363,104670,105360,105937,106446,106541,106708,106818,106982,107230,107672,108201,108588,108887,108966,109167,109408,109852,110297,110923,111576,112163,112557,112901,113375,113895,114458,115024,115673,116375,117044,117662,118250,118848,119517,120227,120999,121802,122635,123504,124392,125298,126238,127194,128235,129312,130458,131619,132756,133862,134940,135976,136991,138025,139101,140220,141341,142527,143685,144906,146152,147584,149069,150637,152181,153736,155228,156627,157972,159312,160821,162497,164314,166068,167879,169714,171625,173499,175593,177936,180541,183385,186330,189332,192336,195570,198996,202654,206497,210626,215062,219868,225091,230406,235689,240659,245413,249931,254179,257972,261787,265568,268921,271444,272949,273834,273980,273784,273401,272540,271546,270290,268726,266599,264101,261174,257991,254715,251537,248337,244851,241280,237247,233129,228621,224330,219806,215647,211396,207111,202829,198458,193994,189719,185729,182123,178660,175163,172030,169134,166863,164814,162967,161459,160526,159678,158992,158237,157729,157252,156713,155911,154822,153537,152180,150699,149099,147601,146070,144650,143153,141813,140540,139540,138627,138006,137532,137290,137145,137033,137032,137081,137388,137863,138443,139122,139909,140806,141755,142788,143867,145116,146578,148230,149928,151660,153549,155434,157463,159547,161671,163558,165392,167067,168624,169941,171213,172290,173297,174154,175024,175659,176386,177372,178450,179538,180547,181685,182818,183950,185125,186379,187560,188906,190306,191702,192959,194329,195806,197364,198700,200039,201281,202687,204153,205545,206780,207920,209236,210503,211820,212999,214248,215647,217054,218446,219693,221099,222466,223824,225034,226268,227207,228284,229554,231006,232474,233694,234852,235954,237104,238191,239268,240384,241402,242032,242373,242728,243111,243639,244282,244909,245558,246280,247046,247775,248722,249943
21,"Illinois",5,138529,138017,137714,137289,137754,138460,139920,141112,142019,142328,142327,142461,142342,142488,142292,142041,140025,137514,133793,130855,128690,127849,127692,127603,127572,127524,127473,127774,128956,130647,132870,134770,136226,136899,137279,137669,138181,138616,139365,140169,140956,141487,142133,142918,143758,144767,145776,146792,147699,148584,149434,150229,151142,152125,153136,154174,155258,156300,157211,158141,159129,160250,161318,162302,163235,164243,165321,166413,167374,168270,169205,170306,171253,172251,173192,174360,175479,176548,177569,178480,179562,180613,181802,182831,183976,184928,185839,186694,187769,189014,190232,191393,192415,193624,194775,195966,197225,198585,200137,201564,202915,204031,205236,206603,208107,209428,210758,212068,213502,214927,216405,217902,219353,220990,222581,224040,225367,226591,227864,228923,229963,230819,231571,232116,232717,233125,233474,233670,233996,234465,235052,234905,234784,233973,233767,232969,232644,231836,231351,230690,229891,229063,226851,226144,223733,223075,220375,219188,216518,214976,212397,210299,207293,204240,201947,199413,197664,195250,193480,192053,190902,189344,188101,186967,186807,186239,185975,184615,184488,183353,183376,181214,180082,178290,177317,175416,173791,172169,170920,169766,167910,166626,164786,164339,163238,162675,160913,160015,158565,157796,156254,155887,155404,155397,154960,154344,153779,153265,153598,154134,154705,155372,156262,156878,157784,158392,159596,160716,162307,163707,165271,166078,167117,167726,168634,169029,169197,169619,170340,171092,171518,172048,172349,172920,173312,173682,173798,174300,175091,175861,176089,176361,176602,176937,177178,177470,177928,178518,179549,180427,181165,181670,182317,183091,183828,184458,185156,186009,186930,187919,188680,189587,190421,191201,191797,192312,192998,193767,194624,195422,196284,197132,197771,198144,198484,198955,199574,200069,200520,201049,201533,201988,202215,202267,202479,202784,203197,203519,203759,204061,204274,204368,204403,204423,204528,204716,204872
47,"Pennsylvania",6,95490,95391,95345,95311,95349,95376,95458,95559,95691,95789,95893,96053,96268,96532,96776,97045,97178,97338,97438,97630,97845,98148,98430,98652,98786,98899,98987,99079,99317,99600,99936,100111,100207,100271,100407,100594,100833,101057,101323,101596,101848,102111,102356,102679,103065,103501,104010,104504,104987,105463,105911,106351,106726,107119,107539,108033,108557,109076,109540,110033,110539,110993,111430,111872,112363,112849,113329,113881,114419,114996,115565,116189,116832,117467,118088,118734,119507,120298,121137,121867,122659,123466,124297,125111,125925,126824,127785,128713,129582,130471,131428,132336,133208,134030,135138,136235,137369,138500,139669,140983,142212,143527,144724,146088,147466,148959,150122,151318,152553,153900,155301,156712,158290,159807,161281,162646,163971,165147,166220,167201,168189,169179,170188,171008,171681,172194,172675,173045,173384,173793,174259,174765,175099,175396,175541,175841,176093,176291,176416,176563,176685,176630,176471,176119,175790,175328,174848,174152,173444,172807,172249,171615,170870,170087,169499,169024,168599,168149,167771,167529,167304,167165,167124,167282,167503,167810,168006,168195,168324,168379,168320,168043,167611,166929,166118,165200,164350,163549,162801,162068,161241,160434,159622,159000,158582,158365,158173,157930,157634,157301,156973,156686,156520,156453,156374,156259,156172,156110,156133,156187,156326,156516,156718,156930,157223,157547,157955,158378,158738,159075,159321,159623,159839,160078,160306,160502,160557,160577,160721,160957,161146,161254,161369,161516,161736,161908,162047,162334,162762,163297,163562,163727,163910,164242,164624,164965,165211,165612,166157,166514,166729,166806,167246,167726,168293,168726,169186,169712,170413,170899,171332,171750,172472,173242,173981,174690,175413,176208,177043,177789,178519,179351,180222,181408,182443,183421,184019,184599,185172,185826,186422,187117,187775,188506,189203,189646,190062,190552,191290,192053,192793,193456,194134,194766,195405,195985,196587
44,"Ohio",7,92317,92632,92923,93179,93467,93764,94065,94363,94672,94969,95268,95550,95838,96135,96463,96815,97119,97409,97675,97961,98261,98622,99022,99406,99729,100041,100375,100759,101149,101547,101987,102404,102751,103001,103270,103600,103943,104222,104478,104749,105071,105410,105758,106122,106574,107105,107631,108067,108521,109055,109633,110122,110563,110995,111417,111849,112263,112671,113038,113435,113822,114180,114482,114816,115171,115524,115861,116168,116455,116721,116990,117287,117580,117881,118174,118482,118762,119047,119349,119709,120081,120449,120809,121140,121494,121843,122237,122635,123100,123559,124006,124364,124716,125031,125392,125763,126123,126488,126820,127174,127456,127750,128031,128358,128684,129071,129453,129833,130170,130459,130757,131020,131323,131598,131892,132208,132508,132739,132879,133001,133122,133242,133319,133391,133414,133359,133291,133202,133107,133019,132976,132812,132583,132287,132028,131705,131391,131167,130920,130531,130137,129766,129381,129039,128617,128221,127760,127393,126980,126489,125857,125340,124719,124014,123168,122410,121840,121376,120936,120474,120041,119699,119520,119340,119246,119152,119233,119170,119101,118923,118717,118286,117784,117214,116642,116014,115346,114791,114218,113730,113087,112474,111901,111547,111265,110994,110674,110400,110180,109902,109600,109401,109303,109174,108982,108829,108786,108835,108890,108925,108988,109184,109466,109708,109975,110315,110762,111164,111554,111846,112240,112583,112872,112895,112854,112809,112877,113007,113211,113455,113602,113807,113952,114254,114633,115186,115777,116309,116755,117215,117649,118083,118495,118893,119278,119640,119968,120374,120769,121281,121750,122179,122592,123050,123587,124150,124730,125362,126057,126794,127489,128133,128806,129461,130133,130715,131467,132257,133150,133915,134626,135091,135706,136408,137400,138296,139109,139868,140514,141088,141644,142365,143100,143882,144586,145306,145860,146427,147056,147764,148453,149166,149824,150397,150962,151601,152226
30,"Michigan",8,91446,92100,92768,93372,93933,94449,94960,95523,96138,96783,97376,97994,98540,99118,99616,100204,100864,101593,102321,102972,103536,104111,104717,105315,105876,106424,107041,107673,108281,108900,109536,110168,110820,111337,111992,112616,113395,114119,114945,115734,116536,117287,118028,118772,119525,120404,121183,122017,122774,123621,124410,125280,126084,126838,127542,128329,129144,129870,130502,131101,131710,132330,132875,133402,133946,134563,135142,135654,136116,136636,137170,137728,138190,138541,138890,139184,139528,139810,140144,140491,140858,141194,141591,141861,142248,142695,143244,143753,144217,144720,145249,145733,146195,146626,147029,147507,147904,148307,148686,149136,149551,149919,150283,150649,151013,151394,151702,152048,152385,152782,153057,153267,153484,153756,153975,154150,154289,154421,154547,154576,154500,154295,153989,153721,153333,152948,152401,151830,151115,150372,149690,149028,148413,147558,146772,145761,145030,143924,142783,141457,140446,139478,138307,136862,135089,133389,131666,129958,127967,126195,124744,123364,121600,119398,117319,115323,113626,111965,110389,109168,108065,107190,106110,105290,104591,104338,103969,103753,103619,103640,103670,103267,102715,101905,101189,100392,99764,99055,98520,97839,97147,96414,95726,95246,95050,95080,95139,95147,95157,95205,95230,95508,95834,96316,96821,97481,98104,98695,99426,100243,101014,101807,102819,103984,105211,106390,107587,108879,110257,111716,113016,114241,115496,116773,117874,118707,119426,120180,121018,121731,122291,122721,123204,123758,124266,124788,125351,126079,126725,127249,127712,128226,128845,129352,129861,130455,131253,131997,132689,133177,133939,134752,135673,136588,137460,138533,139605,140581,141429,142264,143162,144208,145274,146440,147432,148254,149107,149991,150954,151961,152944,154148,155375,156607,157682,158618,159628,160633,161719,162651,163539,164300,165227,165917,166599,167163,167782,168448,169114,169861,170519,171221,171900,172660,173309,174022,174704
16,"Georgia",9,102953,103303,103675,104022,104370,104712,105083,105471,105890,106229,106619,107035,107535,108004,108428,108889,109395,109951,110484,111001,111526,112261,112931,113530,113903,114391,114943,115537,116115,116673,117254,117863,118436,118904,119404,120001,120729,121426,122138,122881,123569,124268,124945,125639,126303,126933,127674,128470,129355,130181,130999,131787,132628,133470,134341,135219,136181,137163,137985,138705,139329,140034,140697,141362,142019,142654,143259,143822,144356,144849,145383,145876,146385,146853,147335,147776,148149,148528,148920,149310,149629,149976,150320,150724,151040,151317,151570,151855,152184,152503,152800,153115,153504,153897,154314,154714,155170,155602,155995,156396,156853,157346,157875,158367,158820,159219,159606,160023,160528,161135,161790,162386,162928,163500,164070,164706,165263,165898,166488,167045,167476,167863,168311,168831,169342,169793,170200,170586,171037,171478,171898,172300,172625,172837,172883,172816,172687,172411,172090,171701,171374,170764,169978,168968,168127,167304,166407,165332,164126,162969,161685,160118,158182,156387,154709,153152,151293,149475,147815,146581,145533,144589,143584,142818,142271,141703,141077,140479,140236,140054,139682,138740,137488,135957,134638,133242,132107,130882,129876,128573,127135,125484,124027,122925,122281,122006,121754,121453,120798,120310,119810,119882,120068,120469,120891,121401,121727,121890,122104,122698,123529,124578,125669,126735,127736,128828,130018,131226,132573,133996,135443,136663,137936,139017,140088,140950,141817,142569,143264,144019,144724,145480,146173,146890,147542,148179,148784,149375,150056,150889,151789,152559,153309,154029,154715,155392,156050,156885,157703,158666,159608,160481,161185,161810,162447,162980,163699,164490,165455,166252,167122,167975,168875,169780,170838,172022,173173,174532,175826,177253,178617,180057,181405,182535,183692,184920,186268,187570,188808,189973,191161,192387,193512,194490,195271,196173,197078,198009,198780,199533,200353,201141,201899,202529,203221,204005,204957
36,"North Carolina",10,110204,110595,111035,111504,111962,112364,112838,113366,113933,114484,115027,115619,116179,116700,117130,117513,117987,118555,119002,119375,119709,120144,120516,120851,121188,121668,122205,122762,123204,123619,124093,124543,124973,125274,125667,126045,126513,126869,127219,127586,127951,128342,128688,129109,129554,130003,130539,131082,131672,132210,132741,133226,133679,134120,134580,135120,135669,136258,136664,137034,137328,137660,137976,138244,138577,138895,139242,139466,139655,139813,140009,140230,140412,140641,140852,141124,141334,141544,141733,141940,142150,142380,142618,142876,143109,143347,143543,143766,144029,144302,144556,144813,145125,145509,145893,146262,146617,146939,147300,147634,147979,148377,148817,149329,149838,150263,150765,151224,151823,152403,153107,153849,154628,155393,156214,157022,157831,158619,159401,160214,161017,161875,162690,163552,164399,165240,166002,166689,167361,168076,168699,169339,169944,170595,171234,171773,172259,172619,172886,173145,173364,173532,173551,173484,173331,173099,172726,172273,171845,171382,170876,170182,169421,168605,168021,167433,166721,165835,164992,164320,163591,162976,162467,162166,161832,161525,161062,160661,160424,160291,160061,159549,158971,158308,157691,157022,156410,155719,155036,154236,153299,152457,151792,151306,150798,150390,149864,149370,148884,148530,148267,148083,148102,148024,147890,147762,147819,147875,147982,148106,148222,148379,148535,148864,149206,149675,150175,150693,151208,151673,152204,152661,153230,153702,154192,154493,154741,154950,155135,155292,155371,155560,155781,156169,156550,157033,157515,158132,158658,159120,159552,160108,160753,161307,161800,162204,162572,162987,163493,163964,164564,165293,166200,167071,167892,168754,169600,170497,171419,172291,173090,173971,174925,175861,176672,177378,178176,179048,180119,181136,182209,183284,184408,185448,186352,187339,188367,189534,190626,191660,192503,193430,194363,195402,196245,197077,197931,198796,199655,200465,201299,202138,203033,203880,204688,205418,206286
